"Month","NPES_Name","Flow.MGD","Flow.acftmo"
1,"OREM CITY CORP",8.332,792.66973588
2,"OREM CITY CORP",8.392,721.11549664
3,"OREM CITY CORP",8.178,778.01885502
4,"OREM CITY CORP",8.39609090909091,773.0003829
5,"OREM CITY CORP",8.3075,790.338913925
6,"OREM CITY CORP",8.42,775.201614
7,"OREM CITY CORP",8.5225,810.793065775
8,"OREM CITY CORP",8.7425,831.722895575
9,"OREM CITY CORP",8.6375,795.22612125
10,"OREM CITY CORP",8.3875,797.949761125
11,"OREM CITY CORP",8.2625,760.70110875
12,"OREM CITY CORP",8.175,777.73344825
1,"PAYSON CITY CORP",1.55333333333333,147.777283133333
2,"PAYSON CITY CORP",1.545,132.7601814
3,"PAYSON CITY CORP",1.54833333333333,147.301605183333
4,"PAYSON CITY CORP",1.53166666666667,141.0154955
5,"PAYSON CITY CORP",1.70166666666667,161.889062316667
6,"PAYSON CITY CORP",1.67166666666667,153.9048335
7,"PAYSON CITY CORP",1.645,156.49804555
8,"PAYSON CITY CORP",1.935,184.08736665
9,"PAYSON CITY CORP",1.82166666666667,167.7148385
10,"PAYSON CITY CORP",1.575,149.83855425
11,"PAYSON CITY CORP",1.558,143.4399186
12,"PAYSON CITY CORP",1.584,150.69477456
1,"PROVO CITY CORP",11.3306060606061,1077.94389263333
2,"PROVO CITY CORP",11.5166666666667,989.614728666667
3,"PROVO CITY CORP",11.4333333333333,1087.71691233333
4,"PROVO CITY CORP",11.1166666666667,1023.474815
5,"PROVO CITY CORP",11.5833333333333,1101.98725083333
6,"PROVO CITY CORP",11.6333333333333,1071.04261
7,"PROVO CITY CORP",11.4,1084.545726
8,"PROVO CITY CORP",11.5166666666667,1095.64487816667
9,"PROVO CITY CORP",11.9333333333333,1098.66262
10,"PROVO CITY CORP",11.3833333333333,1082.96013283333
11,"PROVO CITY CORP",10.72,986.955024
12,"PROVO CITY CORP",10.4,989.410136
1,"SALEM CITY CORP",4.4425,422.639858575
2,"SALEM CITY CORP",4.0375,346.9380145
3,"SALEM CITY CORP",4.507,428.77610413
4,"SALEM CITY CORP",2.967125,273.1734072375
5,"SALEM CITY CORP",5.522,525.33872798
6,"SALEM CITY CORP",2.967125,273.1734072375
7,"SALEM CITY CORP",0.415,39.48126985
8,"SALEM CITY CORP",0.383,36.43693097
9,"SALEM CITY CORP",4.145,381.6164715
10,"SALEM CITY CORP",2.967125,282.27918747875
11,"SALEM CITY CORP",0.285,26.2390095
12,"SALEM CITY CORP",2.967125,282.27918747875
1,"SPANISH FORK CITY CORP",4.05333333333333,385.616258133333
2,"SPANISH FORK CITY CORP",4.29666666666667,369.207926266667
3,"SPANISH FORK CITY CORP",4.63666666666667,441.112018966667
4,"SPANISH FORK CITY CORP",4.165,383.4578055
5,"SPANISH FORK CITY CORP",4.185,398.14244415
6,"SPANISH FORK CITY CORP",4.02,370.108134
7,"SPANISH FORK CITY CORP",4.09666666666667,389.738800366667
8,"SPANISH FORK CITY CORP",4.15666666666667,395.446935766667
9,"SPANISH FORK CITY CORP",4.26666666666667,392.81792
10,"SPANISH FORK CITY CORP",4.22,401.4721898
11,"SPANISH FORK CITY CORP",3.65,336.043455
12,"SPANISH FORK CITY CORP",3.57,339.6340563
1,"SPRINGVILLE- CITY OF",3.52383333333333,335.241963228333
2,"SPRINGVILLE- CITY OF",3.52133333333333,302.584370293333
3,"SPRINGVILLE- CITY OF",3.5885,341.394064715
4,"SPRINGVILLE- CITY OF",3.38133333333333,311.3082016
5,"SPRINGVILLE- CITY OF",3.585,341.06109015
6,"SPRINGVILLE- CITY OF",3.65783333333333,336.76464415
7,"SPRINGVILLE- CITY OF",3.71566666666667,353.492140576667
8,"SPRINGVILLE- CITY OF",3.9,371.028801
9,"SPRINGVILLE- CITY OF",3.67366666666667,338.2223669
10,"SPRINGVILLE- CITY OF",3.486,331.64266674
11,"SPRINGVILLE- CITY OF",3.2648,300.57936216
12,"SPRINGVILLE- CITY OF",3.2922,313.205389398
1,"TIMPANOGOS SPECIAL SERVICE DIS",18.48,1758.1057032
2,"TIMPANOGOS SPECIAL SERVICE DIS",18.5566666666667,1594.55432546667
3,"TIMPANOGOS SPECIAL SERVICE DIS",18.6116666666667,1770.63188921667
4,"TIMPANOGOS SPECIAL SERVICE DIS",18.6466666666667,1716.737066
5,"TIMPANOGOS SPECIAL SERVICE DIS",19.1933333333333,1825.96909073333
6,"TIMPANOGOS SPECIAL SERVICE DIS",19.4433333333333,1790.083537
7,"TIMPANOGOS SPECIAL SERVICE DIS",18.81,1789.5004479
8,"TIMPANOGOS SPECIAL SERVICE DIS",18.982,1805.86376938
9,"TIMPANOGOS SPECIAL SERVICE DIS",18.874,1737.6668958
10,"TIMPANOGOS SPECIAL SERVICE DIS",18.372,1747.83105948
11,"TIMPANOGOS SPECIAL SERVICE DIS",18.134,1669.5375378
12,"TIMPANOGOS SPECIAL SERVICE DIS",18.21,1732.4190939
